timestamp,user_id,session_id,page_type,product_id,action
2025-06-02T00:21:25.443618,user_75,sess_9709,product,143,scroll
2025-06-02T01:05:41.443618,user_22,sess_5820,product,157,add_to_cart
2025-06-02T07:29:03.443618,user_25,sess_8244,product,105,scroll
2025-06-02T13:25:10.443618,user_71,sess_3756,product,131,click
2025-06-02T10:54:51.443618,user_35,sess_2582,product,171,scroll
2025-06-02T16:35:31.443618,user_89,sess_1829,product,158,hover
2025-06-02T13:54:09.443618,user_96,sess_1511,product,107,click
2025-06-02T14:05:41.443618,user_17,sess_7131,product,130,add_to_cart
2025-06-02T08:12:08.443618,user_91,sess_2318,product,101,add_to_cart
2025-06-02T17:17:54.443618,user_3,sess_6616,product,168,scroll
2025-06-02T03:04:20.443618,user_38,sess_3680,product,160,scroll
2025-06-02T18:25:26.443618,user_18,sess_3855,product,121,click
2025-06-02T07:02:46.443618,user_21,sess_4041,product,162,hover
2025-06-02T08:26:07.443618,user_81,sess_8792,product,162,add_to_cart
2025-06-02T10:25:04.443618,user_26,sess_3848,product,103,click
2025-06-02T17:54:15.443618,user_72,sess_5518,product,177,scroll
2025-06-02T03:59:15.443618,user_85,sess_7310,product,174,click
2025-06-02T03:05:10.443618,user_43,sess_8174,product,109,scroll
2025-06-02T13:45:10.443618,user_61,sess_9284,product,154,scroll
2025-06-01T23:29:53.443618,user_61,sess_3897,product,134,add_to_cart
2025-06-02T05:38:00.443618,user_45,sess_5566,product,111,scroll
2025-06-02T18:39:06.443618,user_62,sess_8758,product,142,click
2025-06-01T19:33:18.443618,user_85,sess_8306,product,127,add_to_cart
2025-06-02T00:44:23.443618,user_80,sess_8825,product,173,scroll
2025-06-02T02:22:06.443618,user_17,sess_2245,product,177,hover
2025-06-02T01:33:01.443618,user_43,sess_8816,product,175,hover
2025-06-01T22:37:30.443618,user_91,sess_3530,product,113,hover
2025-06-01T23:06:48.443618,user_99,sess_5996,product,139,add_to_cart
2025-06-02T01:39:01.443618,user_58,sess_6942,product,194,click
2025-06-02T08:49:40.443618,user_41,sess_3244,product,199,add_to_cart
2025-06-02T07:51:04.443618,user_51,sess_2728,product,181,hover
2025-06-01T19:16:13.443618,user_48,sess_7867,product,162,add_to_cart
2025-06-01T20:47:27.443618,user_32,sess_6377,product,190,add_to_cart
2025-06-02T05:22:24.443618,user_5,sess_6270,product,150,scroll
2025-06-02T11:54:39.443618,user_27,sess_6985,product,185,scroll
2025-06-02T13:30:34.443618,user_7,sess_1928,product,180,add_to_cart
2025-06-02T05:28:23.443618,user_40,sess_6810,product,157,scroll
2025-06-01T23:28:09.443618,user_83,sess_3855,product,193,scroll
2025-06-01T22:18:16.443618,user_67,sess_8876,product,113,scroll
2025-06-02T13:38:35.443618,user_43,sess_5964,product,194,click
2025-06-02T18:36:26.443618,user_82,sess_6076,product,172,add_to_cart
2025-06-01T22:07:00.443618,user_50,sess_3037,product,117,scroll
2025-06-02T17:21:22.443618,user_59,sess_1971,product,131,click
2025-06-02T01:38:11.443618,user_86,sess_5163,product,158,scroll
2025-06-02T16:10:21.443618,user_8,sess_6026,product,109,add_to_cart
